""	"x"
"1"	"F"
"2"	"B"
"3"	"D"
"4"	"A"
"5"	"B"
"6"	"E"
"7"	"E"
"8"	"B"
"9"	"F"
"10"	"E"
"11"	"A"
"12"	"C"
"13"	"F"
"14"	"B"
"15"	"C"
"16"	"E"
"17"	"E"
"18"	"D"
"19"	"E"
"20"	"D"
"21"	"F"
"22"	"D"
"23"	"D"
"24"	"F"
"25"	"A"
"26"	"C"
"27"	"A"
"28"	"D"
"29"	"C"
"30"	"B"
"31"	"D"
"32"	"A"
"33"	"F"
"34"	"F"
"35"	"B"
"36"	"F"
"37"	"A"
"38"	"A"
"39"	"A"
"40"	"C"
"41"	"D"
"42"	"B"
"43"	"A"
"44"	"A"
"45"	"B"
"46"	"C"
"47"	"A"
"48"	"E"
"49"	"F"
"50"	"C"
"51"	"F"
"52"	"E"
"53"	"F"
"54"	"D"
"55"	"C"
"56"	"E"
"57"	"F"
"58"	"A"
"59"	"E"
"60"	"B"
"61"	"A"
"62"	"F"
"63"	"A"
"64"	"C"
"65"	"B"
"66"	"A"
"67"	"F"
"68"	"A"
"69"	"F"
"70"	"A"
"71"	"A"
"72"	"E"
"73"	"B"
"74"	"F"
"75"	"A"
"76"	"F"
"77"	"A"
"78"	"A"
"79"	"B"
"80"	"F"
"81"	"F"
"82"	"E"
"83"	"C"
"84"	"F"
"85"	"B"
"86"	"F"
"87"	"B"
"88"	"B"
"89"	"A"
"90"	"D"
"91"	"B"
"92"	"E"
"93"	"F"
"94"	"F"
"95"	"A"
"96"	"A"
"97"	"F"
"98"	"A"
"99"	"F"
"100"	"E"
"101"	"D"
"102"	"E"
"103"	"A"
"104"	"F"
"105"	"F"
"106"	"F"
"107"	"A"
"108"	"E"
"109"	"F"
"110"	"F"
"111"	"C"
"112"	"F"
"113"	"A"
"114"	"E"
"115"	"A"
"116"	"C"
"117"	"E"
"118"	"F"
"119"	"A"
"120"	"F"
"121"	"A"
"122"	"A"
"123"	"F"
"124"	"B"
"125"	"D"
"126"	"A"
"127"	"A"
"128"	"B"
"129"	"A"
"130"	"F"
"131"	"A"
"132"	"F"
"133"	"F"
"134"	"A"
"135"	"A"
"136"	"A"
"137"	"C"
"138"	"F"
"139"	"A"
"140"	"D"
"141"	"F"
"142"	"A"
"143"	"A"
"144"	"A"
"145"	"F"
"146"	"A"
"147"	"C"
"148"	"B"
"149"	"C"
"150"	"F"
"151"	"A"
"152"	"B"
"153"	"D"
"154"	"F"
"155"	"C"
"156"	"C"
"157"	"B"
"158"	"D"
"159"	"F"
"160"	"D"
"161"	"A"
"162"	"F"
"163"	"F"
"164"	"A"
"165"	"B"
"166"	"A"
"167"	"A"
"168"	"B"
"169"	"C"
"170"	"B"
"171"	"C"
"172"	"A"
"173"	"E"
"174"	"B"
"175"	"E"
"176"	"A"
"177"	"D"
"178"	"E"
"179"	"D"
"180"	"F"
"181"	"A"
"182"	"C"
"183"	"F"
"184"	"D"
"185"	"E"
"186"	"A"
"187"	"F"
"188"	"F"
"189"	"B"
"190"	"C"
"191"	"F"
"192"	"E"
"193"	"D"
"194"	"E"
"195"	"F"
"196"	"A"
"197"	"D"
"198"	"D"
"199"	"B"
"200"	"C"
"201"	"A"
"202"	"F"
"203"	"A"
"204"	"A"
"205"	"F"
"206"	"B"
"207"	"B"
"208"	"F"
"209"	"A"
"210"	"B"
"211"	"D"
"212"	"E"
"213"	"F"
"214"	"D"
"215"	"A"
"216"	"D"
"217"	"F"
"218"	"F"
"219"	"D"
"220"	"B"
"221"	"A"
"222"	"C"
"223"	"F"
"224"	"A"
"225"	"E"
"226"	"B"
"227"	"C"
"228"	"E"
"229"	"B"
"230"	"A"
"231"	"B"
"232"	"E"
"233"	"E"
"234"	"C"
"235"	"A"
"236"	"F"
"237"	"F"
"238"	"A"
"239"	"A"
"240"	"B"
"241"	"B"
"242"	"E"
"243"	"E"
"244"	"B"
"245"	"C"
"246"	"D"
"247"	"A"
"248"	"D"
"249"	"B"
"250"	"A"
"251"	"B"
"252"	"C"
"253"	"F"
"254"	"A"
"255"	"C"
"256"	"A"
"257"	"E"
"258"	"F"
"259"	"A"
"260"	"E"
"261"	"D"
"262"	"F"
"263"	"A"
"264"	"D"
"265"	"A"
"266"	"C"
"267"	"C"
"268"	"F"
"269"	"A"
"270"	"A"
"271"	"C"
"272"	"B"
"273"	"A"
"274"	"F"
"275"	"A"
"276"	"D"
"277"	"A"
"278"	"E"
"279"	"E"
"280"	"C"
"281"	"B"
"282"	"F"
"283"	"B"
"284"	"F"
"285"	"B"
"286"	"C"
"287"	"A"
"288"	"A"
"289"	"A"
"290"	"D"
"291"	"A"
"292"	"E"
"293"	"C"
"294"	"E"
"295"	"A"
"296"	"A"
"297"	"B"
"298"	"A"
"299"	"F"
"300"	"F"
"301"	"E"
"302"	"D"
"303"	"B"
"304"	"A"
"305"	"B"
"306"	"E"
"307"	"F"
"308"	"C"
"309"	"A"
"310"	"D"
"311"	"A"
"312"	"A"
"313"	"C"
"314"	"F"
"315"	"F"
"316"	"D"
"317"	"D"
"318"	"B"
"319"	"A"
"320"	"A"
"321"	"B"
"322"	"A"
"323"	"F"
"324"	"D"
"325"	"D"
"326"	"A"
"327"	"A"
"328"	"C"
"329"	"B"
"330"	"D"
"331"	"A"
"332"	"F"
"333"	"A"
"334"	"D"
"335"	"E"
"336"	"F"
"337"	"C"
"338"	"B"
"339"	"B"
"340"	"A"
"341"	"C"
"342"	"A"
"343"	"A"
"344"	"F"
"345"	"A"
"346"	"A"
"347"	"A"
"348"	"C"
"349"	"B"
"350"	"B"
"351"	"E"
"352"	"E"
"353"	"F"
"354"	"D"
"355"	"D"
"356"	"E"
"357"	"B"
"358"	"A"
"359"	"F"
"360"	"F"
"361"	"F"
"362"	"F"
"363"	"F"
"364"	"E"
"365"	"D"
"366"	"A"
"367"	"F"
"368"	"F"
"369"	"C"
"370"	"C"
"371"	"F"
"372"	"D"
"373"	"F"
"374"	"D"
"375"	"E"
"376"	"A"
"377"	"A"
"378"	"B"
"379"	"A"
"380"	"C"
"381"	"D"
"382"	"B"
"383"	"B"
"384"	"B"
"385"	"D"
"386"	"A"
"387"	"F"
"388"	"D"
"389"	"B"
"390"	"A"
"391"	"E"
"392"	"F"
"393"	"B"
"394"	"C"
"395"	"A"
"396"	"C"
"397"	"F"
"398"	"C"
"399"	"A"
"400"	"C"
"401"	"E"
"402"	"F"
"403"	"C"
"404"	"F"
"405"	"A"
"406"	"F"
"407"	"A"
"408"	"A"
"409"	"A"
"410"	"B"
"411"	"B"
"412"	"E"
"413"	"F"
"414"	"D"
"415"	"F"
"416"	"E"
"417"	"B"
"418"	"D"
"419"	"D"
"420"	"C"
"421"	"B"
"422"	"F"
"423"	"B"
"424"	"B"
"425"	"D"
"426"	"C"
"427"	"D"
"428"	"A"
"429"	"B"
"430"	"B"
"431"	"F"
"432"	"D"
"433"	"A"
"434"	"B"
"435"	"B"
"436"	"E"
"437"	"F"
"438"	"A"
"439"	"A"
"440"	"C"
"441"	"C"
"442"	"E"
"443"	"D"
"444"	"E"
"445"	"F"
"446"	"F"
"447"	"A"
"448"	"B"
"449"	"B"
"450"	"B"
"451"	"A"
"452"	"C"
"453"	"A"
"454"	"B"
"455"	"A"
"456"	"A"
"457"	"E"
"458"	"A"
"459"	"A"
"460"	"D"
"461"	"F"
"462"	"D"
"463"	"E"
"464"	"F"
"465"	"F"
"466"	"A"
"467"	"B"
"468"	"B"
"469"	"B"
"470"	"F"
"471"	"B"
"472"	"D"
"473"	"D"
"474"	"D"
"475"	"F"
"476"	"A"
"477"	"A"
"478"	"C"
"479"	"C"
"480"	"F"
"481"	"F"
"482"	"F"
"483"	"F"
"484"	"B"
"485"	"A"
"486"	"F"
"487"	"C"
"488"	"A"
"489"	"B"
"490"	"D"
"491"	"D"
"492"	"B"
"493"	"A"
"494"	"D"
"495"	"E"
"496"	"F"
"497"	"F"
"498"	"F"
"499"	"B"
"500"	"D"
"501"	"D"
"502"	"A"
"503"	"E"
"504"	"F"
"505"	"E"
"506"	"D"
"507"	"E"
"508"	"D"
"509"	"F"
"510"	"B"
"511"	"F"
"512"	"E"
"513"	"D"
"514"	"A"
"515"	"D"
"516"	"A"
"517"	"A"
"518"	"B"
"519"	"F"
"520"	"D"
"521"	"F"
"522"	"A"
"523"	"C"
"524"	"A"
"525"	"C"
"526"	"D"
"527"	"B"
"528"	"D"
"529"	"C"
"530"	"A"
"531"	"A"
"532"	"F"
"533"	"C"
"534"	"F"
"535"	"E"
"536"	"A"
"537"	"F"
"538"	"C"
"539"	"B"
"540"	"E"
"541"	"A"
"542"	"F"
"543"	"B"
"544"	"A"
"545"	"F"
"546"	"F"
"547"	"E"
"548"	"F"
"549"	"A"
"550"	"F"
"551"	"F"
"552"	"B"
"553"	"A"
"554"	"B"
"555"	"F"
"556"	"A"
"557"	"F"
"558"	"A"
"559"	"B"
"560"	"A"
"561"	"F"
"562"	"D"
"563"	"F"
"564"	"D"
"565"	"B"
"566"	"F"
"567"	"B"
"568"	"B"
"569"	"D"
"570"	"D"
"571"	"A"
"572"	"D"
"573"	"F"
"574"	"B"
"575"	"B"
"576"	"E"
"577"	"A"
"578"	"B"
"579"	"A"
"580"	"F"
"581"	"A"
"582"	"B"
"583"	"F"
"584"	"F"
"585"	"C"
"586"	"B"
"587"	"F"
"588"	"F"
"589"	"B"
"590"	"D"
"591"	"F"
"592"	"A"
"593"	"A"
"594"	"F"
"595"	"A"
"596"	"B"
"597"	"B"
"598"	"E"
"599"	"F"
"600"	"D"
"601"	"B"
"602"	"B"
"603"	"D"
"604"	"E"
"605"	"D"
"606"	"E"
"607"	"F"
"608"	"C"
"609"	"A"
"610"	"B"
"611"	"F"
"612"	"A"
"613"	"F"
"614"	"A"
"615"	"A"
"616"	"F"
"617"	"A"
"618"	"F"
"619"	"A"
"620"	"E"
"621"	"A"
"622"	"E"
"623"	"B"
"624"	"F"
"625"	"D"
"626"	"D"
"627"	"F"
"628"	"B"
"629"	"B"
"630"	"D"
"631"	"F"
"632"	"B"
"633"	"D"
"634"	"A"
"635"	"E"
"636"	"F"
"637"	"C"
"638"	"E"
"639"	"B"
"640"	"F"
"641"	"A"
"642"	"A"
"643"	"F"
"644"	"D"
"645"	"F"
"646"	"B"
"647"	"F"
"648"	"F"
"649"	"E"
"650"	"B"
"651"	"A"
"652"	"C"
"653"	"F"
"654"	"F"
"655"	"E"
"656"	"A"
"657"	"A"
"658"	"D"
"659"	"B"
"660"	"B"
"661"	"A"
"662"	"F"
"663"	"B"
"664"	"F"
"665"	"C"
"666"	"F"
"667"	"B"
"668"	"F"
"669"	"A"
"670"	"F"
"671"	"B"
"672"	"E"
"673"	"A"
"674"	"C"
"675"	"E"
"676"	"A"
"677"	"C"
"678"	"D"
"679"	"E"
"680"	"D"
"681"	"B"
"682"	"B"
"683"	"F"
"684"	"A"
"685"	"F"
"686"	"D"
"687"	"B"
"688"	"E"
"689"	"A"
"690"	"F"
"691"	"D"
"692"	"A"
"693"	"E"
"694"	"F"
"695"	"A"
"696"	"B"
"697"	"A"
"698"	"F"
"699"	"E"
"700"	"A"
"701"	"D"
"702"	"A"
"703"	"A"
"704"	"F"
"705"	"B"
"706"	"D"
"707"	"F"
"708"	"D"
"709"	"A"
"710"	"E"
"711"	"A"
"712"	"B"
"713"	"F"
"714"	"F"
"715"	"F"
"716"	"B"
"717"	"B"
"718"	"F"
"719"	"B"
"720"	"B"
"721"	"A"
"722"	"A"
"723"	"B"
"724"	"D"
"725"	"C"
"726"	"E"
"727"	"C"
"728"	"C"
"729"	"C"
"730"	"E"
"731"	"A"
"732"	"B"
"733"	"D"
"734"	"D"
"735"	"A"
"736"	"C"
"737"	"A"
"738"	"B"
"739"	"F"
"740"	"F"
"741"	"E"
"742"	"F"
"743"	"A"
"744"	"E"
"745"	"A"
"746"	"E"
"747"	"B"
"748"	"D"
"749"	"F"
"750"	"F"
"751"	"F"
"752"	"D"
"753"	"F"
"754"	"B"
"755"	"B"
"756"	"B"
"757"	"E"
"758"	"A"
"759"	"E"
"760"	"C"
"761"	"D"
"762"	"F"
"763"	"B"
"764"	"F"
"765"	"A"
"766"	"A"
"767"	"B"
"768"	"E"
"769"	"F"
"770"	"B"
"771"	"A"
"772"	"C"
"773"	"E"
"774"	"F"
"775"	"D"
"776"	"A"
"777"	"F"
"778"	"B"
"779"	"B"
"780"	"E"
"781"	"F"
"782"	"F"
"783"	"B"
"784"	"A"
"785"	"B"
"786"	"B"
"787"	"B"
"788"	"D"
"789"	"F"
"790"	"D"
"791"	"B"
"792"	"D"
"793"	"B"
"794"	"A"
"795"	"B"
"796"	"C"
"797"	"C"
"798"	"F"
"799"	"C"
"800"	"F"
"801"	"D"
"802"	"F"
"803"	"B"
"804"	"F"
"805"	"A"
"806"	"A"
"807"	"B"
"808"	"B"
"809"	"A"
"810"	"F"
"811"	"C"
"812"	"D"
"813"	"F"
"814"	"A"
"815"	"F"
"816"	"A"
"817"	"F"
"818"	"A"
"819"	"A"
"820"	"B"
"821"	"A"
"822"	"F"
"823"	"F"
"824"	"A"
"825"	"C"
"826"	"F"
"827"	"A"
"828"	"C"
"829"	"A"
"830"	"B"
"831"	"E"
"832"	"D"
"833"	"F"
"834"	"A"
"835"	"A"
"836"	"F"
"837"	"E"
"838"	"E"
"839"	"F"
"840"	"F"
"841"	"C"
"842"	"F"
"843"	"B"
"844"	"B"
"845"	"D"
"846"	"F"
"847"	"F"
"848"	"C"
"849"	"D"
"850"	"A"
"851"	"A"
"852"	"B"
"853"	"F"
"854"	"A"
"855"	"D"
"856"	"A"
"857"	"B"
"858"	"A"
"859"	"D"
"860"	"F"
"861"	"C"
"862"	"C"
"863"	"F"
"864"	"F"
"865"	"E"
"866"	"F"
"867"	"C"
"868"	"F"
"869"	"F"
"870"	"E"
"871"	"F"
"872"	"A"
"873"	"F"
"874"	"E"
"875"	"E"
"876"	"A"
"877"	"B"
"878"	"B"
"879"	"E"
"880"	"C"
"881"	"A"
"882"	"B"
"883"	"F"
"884"	"A"
"885"	"F"
