""	"x"
"1"	"B"
"2"	"B"
"3"	"B"
"4"	"F"
"5"	"F"
"6"	"C"
"7"	"C"
"8"	"F"
"9"	"D"
"10"	"E"
"11"	"F"
"12"	"A"
"13"	"D"
"14"	"C"
"15"	"F"
"16"	"C"
"17"	"D"
"18"	"F"
"19"	"C"
"20"	"F"
"21"	"D"
"22"	"E"
"23"	"B"
"24"	"E"
"25"	"B"
"26"	"D"
"27"	"A"
"28"	"A"
"29"	"C"
"30"	"A"
"31"	"B"
"32"	"B"
"33"	"C"
"34"	"F"
"35"	"F"
"36"	"C"
"37"	"C"
"38"	"C"
"39"	"C"
"40"	"B"
"41"	"F"
"42"	"C"
"43"	"B"
"44"	"E"
"45"	"C"
"46"	"C"
"47"	"E"
"48"	"B"
"49"	"B"
"50"	"B"
"51"	"C"
"52"	"D"
"53"	"D"
"54"	"F"
"55"	"F"
"56"	"D"
"57"	"E"
"58"	"A"
"59"	"D"
"60"	"F"
"61"	"F"
"62"	"B"
"63"	"B"
"64"	"B"
"65"	"B"
"66"	"F"
"67"	"F"
"68"	"B"
"69"	"C"
"70"	"F"
"71"	"F"
"72"	"A"
"73"	"A"
"74"	"C"
"75"	"B"
"76"	"C"
"77"	"B"
"78"	"F"
"79"	"C"
"80"	"C"
"81"	"B"
"82"	"C"
"83"	"C"
"84"	"D"
"85"	"E"
"86"	"A"
"87"	"C"
"88"	"C"
"89"	"B"
"90"	"F"
"91"	"B"
"92"	"F"
"93"	"B"
"94"	"B"
"95"	"D"
"96"	"F"
"97"	"C"
"98"	"F"
"99"	"D"
"100"	"B"
"101"	"C"
"102"	"B"
"103"	"F"
"104"	"F"
"105"	"D"
"106"	"E"
"107"	"C"
"108"	"B"
"109"	"F"
"110"	"D"
"111"	"F"
"112"	"F"
"113"	"F"
"114"	"E"
"115"	"B"
"116"	"C"
"117"	"A"
"118"	"A"
"119"	"F"
"120"	"C"
"121"	"A"
"122"	"E"
"123"	"A"
"124"	"F"
"125"	"F"
"126"	"F"
"127"	"E"
"128"	"C"
"129"	"C"
"130"	"A"
"131"	"C"
"132"	"B"
"133"	"B"
"134"	"B"
"135"	"A"
"136"	"F"
"137"	"E"
"138"	"D"
"139"	"C"
"140"	"F"
"141"	"F"
"142"	"F"
"143"	"F"
"144"	"B"
"145"	"B"
"146"	"B"
"147"	"C"
"148"	"F"
"149"	"F"
"150"	"C"
"151"	"D"
"152"	"A"
"153"	"F"
"154"	"C"
"155"	"C"
"156"	"F"
"157"	"B"
"158"	"A"
"159"	"A"
"160"	"F"
"161"	"C"
"162"	"C"
"163"	"E"
"164"	"B"
"165"	"A"
"166"	"F"
"167"	"A"
"168"	"F"
"169"	"B"
"170"	"A"
"171"	"F"
"172"	"F"
"173"	"F"
"174"	"F"
"175"	"F"
"176"	"C"
"177"	"B"
"178"	"A"
"179"	"A"
"180"	"C"
"181"	"C"
"182"	"C"
"183"	"A"
"184"	"B"
"185"	"B"
"186"	"E"
"187"	"B"
"188"	"C"
"189"	"D"
"190"	"D"
"191"	"C"
"192"	"A"
"193"	"F"
"194"	"D"
"195"	"C"
"196"	"A"
"197"	"D"
"198"	"A"
"199"	"F"
"200"	"C"
"201"	"B"
"202"	"B"
"203"	"B"
"204"	"F"
"205"	"C"
"206"	"F"
"207"	"A"
"208"	"B"
"209"	"F"
"210"	"B"
"211"	"C"
"212"	"A"
"213"	"B"
"214"	"B"
"215"	"D"
"216"	"B"
"217"	"E"
"218"	"A"
"219"	"A"
"220"	"C"
"221"	"C"
"222"	"F"
"223"	"B"
"224"	"D"
"225"	"C"
"226"	"F"
"227"	"F"
"228"	"D"
"229"	"B"
"230"	"C"
"231"	"C"
"232"	"F"
"233"	"C"
"234"	"C"
"235"	"C"
"236"	"A"
"237"	"C"
"238"	"E"
"239"	"B"
"240"	"D"
"241"	"B"
"242"	"C"
"243"	"B"
"244"	"B"
"245"	"F"
"246"	"C"
"247"	"C"
"248"	"B"
"249"	"B"
"250"	"B"
"251"	"A"
"252"	"A"
"253"	"B"
"254"	"C"
"255"	"C"
"256"	"D"
"257"	"B"
"258"	"B"
"259"	"B"
"260"	"B"
"261"	"A"
"262"	"F"
"263"	"F"
"264"	"E"
"265"	"B"
"266"	"E"
"267"	"B"
"268"	"F"
"269"	"B"
"270"	"F"
"271"	"F"
"272"	"C"
"273"	"B"
"274"	"F"
"275"	"B"
"276"	"F"
"277"	"B"
"278"	"F"
"279"	"A"
"280"	"E"
"281"	"F"
"282"	"B"
"283"	"A"
"284"	"F"
"285"	"F"
"286"	"A"
"287"	"B"
"288"	"C"
"289"	"F"
"290"	"B"
"291"	"B"
"292"	"B"
"293"	"F"
"294"	"C"
"295"	"C"
"296"	"C"
"297"	"A"
"298"	"F"
"299"	"B"
"300"	"F"
"301"	"B"
"302"	"A"
"303"	"D"
"304"	"D"
"305"	"A"
"306"	"C"
"307"	"C"
"308"	"E"
"309"	"E"
"310"	"F"
"311"	"B"
"312"	"F"
"313"	"C"
"314"	"D"
"315"	"B"
"316"	"B"
"317"	"B"
"318"	"F"
"319"	"F"
"320"	"C"
"321"	"B"
"322"	"A"
"323"	"F"
"324"	"E"
"325"	"C"
"326"	"B"
"327"	"B"
"328"	"A"
"329"	"F"
"330"	"F"
"331"	"B"
"332"	"F"
"333"	"F"
"334"	"B"
"335"	"C"
"336"	"C"
