""	"x"
"1"	"B"
"2"	"B"
"3"	"B"
"4"	"A"
"5"	"B"
"6"	"B"
"7"	"B"
"8"	"B"
"9"	"A"
"10"	"E"
"11"	"D"
"12"	"B"
"13"	"B"
"14"	"A"
"15"	"F"
"16"	"B"
"17"	"B"
"18"	"C"
"19"	"B"
"20"	"F"
"21"	"B"
"22"	"B"
"23"	"B"
"24"	"B"
"25"	"B"
"26"	"A"
"27"	"F"
"28"	"A"
"29"	"B"
"30"	"E"
"31"	"B"
"32"	"A"
"33"	"A"
"34"	"D"
"35"	"D"
"36"	"D"
"37"	"B"
"38"	"C"
"39"	"F"
"40"	"E"
"41"	"A"
"42"	"B"
"43"	"B"
"44"	"E"
"45"	"B"
"46"	"A"
"47"	"B"
"48"	"D"
"49"	"F"
"50"	"F"
"51"	"D"
"52"	"C"
"53"	"C"
"54"	"F"
"55"	"D"
"56"	"A"
"57"	"E"
"58"	"B"
"59"	"F"
"60"	"C"
"61"	"A"
"62"	"F"
"63"	"B"
"64"	"B"
"65"	"C"
"66"	"A"
"67"	"E"
"68"	"A"
"69"	"B"
"70"	"B"
"71"	"B"
"72"	"B"
"73"	"A"
"74"	"B"
"75"	"E"
"76"	"B"
"77"	"B"
"78"	"A"
"79"	"E"
"80"	"C"
"81"	"C"
"82"	"C"
"83"	"F"
"84"	"A"
"85"	"F"
"86"	"A"
"87"	"A"
"88"	"B"
"89"	"A"
"90"	"D"
"91"	"B"
"92"	"A"
"93"	"F"
"94"	"A"
"95"	"B"
"96"	"D"
"97"	"B"
"98"	"B"
"99"	"D"
"100"	"B"
"101"	"E"
"102"	"E"
"103"	"C"
"104"	"D"
"105"	"F"
"106"	"B"
"107"	"C"
"108"	"E"
"109"	"C"
"110"	"B"
"111"	"D"
"112"	"A"
"113"	"B"
"114"	"D"
"115"	"D"
"116"	"B"
"117"	"B"
"118"	"B"
"119"	"B"
"120"	"B"
"121"	"B"
"122"	"D"
"123"	"B"
"124"	"D"
"125"	"A"
"126"	"C"
"127"	"A"
"128"	"B"
"129"	"B"
"130"	"F"
"131"	"B"
"132"	"B"
"133"	"F"
"134"	"C"
"135"	"E"
"136"	"C"
"137"	"E"
"138"	"B"
"139"	"E"
"140"	"C"
"141"	"B"
"142"	"F"
"143"	"E"
"144"	"E"
"145"	"D"
"146"	"B"
"147"	"A"
"148"	"A"
"149"	"D"
"150"	"E"
"151"	"B"
"152"	"F"
"153"	"B"
"154"	"A"
"155"	"A"
"156"	"D"
"157"	"B"
"158"	"F"
"159"	"F"
"160"	"B"
"161"	"B"
"162"	"F"
"163"	"F"
"164"	"B"
"165"	"B"
"166"	"F"
"167"	"B"
"168"	"B"
"169"	"B"
"170"	"B"
"171"	"B"
"172"	"F"
"173"	"A"
"174"	"A"
"175"	"B"
"176"	"A"
"177"	"C"
"178"	"F"
"179"	"E"
"180"	"B"
"181"	"F"
"182"	"D"
"183"	"F"
"184"	"B"
"185"	"F"
"186"	"A"
"187"	"C"
"188"	"F"
"189"	"B"
"190"	"B"
"191"	"C"
"192"	"A"
"193"	"D"
"194"	"F"
"195"	"D"
"196"	"B"
"197"	"C"
"198"	"E"
"199"	"B"
"200"	"E"
"201"	"B"
"202"	"E"
"203"	"E"
"204"	"A"
"205"	"F"
"206"	"A"
"207"	"B"
"208"	"F"
"209"	"B"
"210"	"B"
"211"	"A"
"212"	"D"
"213"	"C"
"214"	"B"
"215"	"F"
"216"	"B"
"217"	"A"
"218"	"D"
"219"	"F"
"220"	"A"
"221"	"B"
"222"	"F"
"223"	"B"
"224"	"B"
"225"	"D"
"226"	"A"
"227"	"A"
"228"	"C"
"229"	"D"
"230"	"C"
"231"	"B"
"232"	"B"
"233"	"A"
"234"	"D"
"235"	"B"
"236"	"D"
"237"	"F"
"238"	"F"
"239"	"F"
"240"	"A"
"241"	"B"
"242"	"B"
"243"	"C"
"244"	"B"
"245"	"B"
"246"	"B"
"247"	"A"
"248"	"E"
"249"	"B"
"250"	"B"
"251"	"D"
"252"	"A"
"253"	"F"
"254"	"C"
"255"	"F"
"256"	"E"
"257"	"A"
"258"	"B"
"259"	"E"
"260"	"A"
"261"	"B"
"262"	"D"
"263"	"C"
"264"	"A"
"265"	"B"
"266"	"D"
"267"	"F"
"268"	"B"
"269"	"C"
"270"	"E"
"271"	"B"
"272"	"C"
"273"	"B"
"274"	"C"
"275"	"B"
"276"	"E"
"277"	"C"
"278"	"B"
"279"	"F"
"280"	"C"
"281"	"A"
"282"	"B"
"283"	"B"
"284"	"F"
"285"	"F"
"286"	"B"
"287"	"F"
"288"	"E"
"289"	"C"
"290"	"C"
"291"	"D"
"292"	"B"
"293"	"F"
"294"	"B"
"295"	"F"
"296"	"F"
"297"	"F"
"298"	"B"
"299"	"C"
"300"	"F"
"301"	"E"
"302"	"A"
"303"	"B"
"304"	"B"
"305"	"A"
"306"	"B"
"307"	"B"
"308"	"C"
"309"	"D"
"310"	"B"
"311"	"A"
"312"	"B"
"313"	"A"
"314"	"B"
"315"	"E"
"316"	"D"
"317"	"E"
"318"	"F"
"319"	"C"
"320"	"A"
"321"	"B"
"322"	"A"
"323"	"B"
"324"	"B"
"325"	"E"
"326"	"F"
"327"	"C"
"328"	"C"
"329"	"C"
"330"	"A"
"331"	"B"
"332"	"D"
"333"	"B"
"334"	"A"
"335"	"E"
"336"	"B"
